PST045214,PST040210,PST120214,POP010210,AGE135214,AGE295214,AGE775214,SEX255214,RHI125214,RHI225214,RHI325214,RHI425214,RHI525214,RHI625214,RHI725214,RHI825214,POP715213,POP645213,POP815213,EDU635213,EDU685213,VET605213,LFE305213,HSG010214,HSG445213,HSG096213,HSG495213,HSD410213,HSD310213,INC910213,INC110213,PVY020213,BZA010213,BZA110213,BZA115213,NES010213,SBO001207,SBO315207,SBO115207,SBO215207,SBO515207,SBO415207,SBO015207,MAN450207,WTN220207,RTN130207,RTN131207,AFN120207,BPS030214,LND110210,POP060210,Label,classification
0.019772,0.018555,0.648045,0.018555,0.347458,0.44713,0.29918,0.790262,0.867045,0.112808,0.008121,0.021226,0.010638,0.065041,0.044025,0.840042,0.638776,0.070175,0.057531,0.825843,0.326118,0.058328,0.491667,0.030818,0.736842,0.247716,0.168453,0.022676,0.341837,0.332736,0.295691,0.276008,0.019228,0.014471,0.412507,0.017439,0.018182,0.044776,0.007273,0.017668,0,0.017264,0.485765,0.009197,0,0.024905,0.21245,0.017578,0.074421,0.085287,0.001648,TRUE,TRUE
0.002649,0.002788,0.315642,0.002788,0.355932,0.416918,0.254098,0.617978,0.447727,0.559342,0.006961,0.011792,0.021277,0.036585,0.042977,0.454449,0.693878,0.05653,0.052301,0.537453,0.119769,0.006386,0.455556,0.003374,0.668975,0.107614,0.068339,0.002838,0.413265,0.147171,0.126403,0.547771,0.001824,0.00174,0.361492,0.001622,0.001592,0,0,0,0,0,0.480427,0,0,0.001581,0.078391,0,0.00043,0.047424,0.000445,TRUE,TRUE
0.002216,0.002326,0.324022,0.002326,0.322034,0.410876,0.219262,0.59176,0.744318,0.259694,0.00464,0.004717,0.010638,0.036585,0.01782,0.75,0.730612,0.023392,0.021967,0.608614,0.10101,0.003995,0.538889,0.002564,0.825485,0.074112,0.069979,0.002185,0.602041,0.158338,0.160985,0.36518,0.001078,0.000828,0.433352,0.001178,0.001323,0.247098,0,0,0,0,0,0,0,0.001047,0.071832,0.000433,0.001022,0.033334,0.000528,TRUE,TRUE
0.005697,0.00583,0.393855,0.00583,0.389831,0.489426,0.264344,0.764045,0.968182,0.021152,0.006961,0.007075,0.010638,0.04878,0.087002,0.89089,0.773469,0.083821,0.07636,0.599251,0.10101,0.013684,0.713889,0.006827,0.853186,0.045685,0.103518,0.006524,0.433673,0.220019,0.236269,0.316348,0.002598,0.001789,0.410861,0.003754,0.004258,0,0,0,0,0,0.412811,0.002227,0,0.002684,0.069579,0.000842,0.000161,0.034527,0.001278,TRUE,TRUE
0.001055,0.001103,0.335196,0.001103,0.40678,0.422961,0.221311,0.569288,0.182955,0.823737,0.009281,0.007075,0.074468,0.044715,0.074423,0.194915,0.691837,0.105263,0.054393,0.426966,0.106782,0.001912,0.519444,0.001267,0.760388,0.088325,0.044887,0.001148,0.44898,0.180766,0.117817,0.43949,0.000434,0,0.392211,0.000484,0.000398,0,0,0,0,0,0.690391,0,0,0.000368,0.049443,0.000148,0.000054,0.033347,0.00025,TRUE,TRUE
0.001998,0.002125,0.287709,0.002125,0.389831,0.489426,0.284836,0.88015,0.489773,0.517039,0.00464,0.021226,0,0.03252,0.008386,0.523305,0.893878,0.015595,0.017782,0.586142,0.128427,0.004508,0.438889,0.002833,0.704986,0.135025,0.050057,0.002539,0.316327,0.15789,0.097133,0.583864,0.001544,0.001503,0.407021,0.001145,0.00169,0,0,0.058304,0,0,0,0.002603,0.000286,0.001925,0.140173,0.001144,0.000108,0.04162,0.000387,TRUE,TRUE
0.011449,0.012069,0.310056,0.012068,0.355932,0.44713,0.243852,0.812734,0.738636,0.247944,0.0058,0.021226,0.010638,0.069106,0.032495,0.733051,0.669388,0.046784,0.047071,0.629213,0.15873,0.034323,0.397222,0.015288,0.682825,0.140102,0.082713,0.013981,0.352041,0.221849,0.19536,0.44586,0.009118,0.009177,0.395502,0.006702,0.008322,0.119403,0,0.028269,0,0.00664,0.439502,0.017477,0,0.012954,0.169282,0.007504,0.00613,0.032437,0.002816,TRUE,TRUE
0.00336,0.003472,0.365922,0.003476,0.372881,0.422961,0.290984,0.831461,0.539773,0.46416,0.00348,0.018868,0.010638,0.044715,0.016771,0.5625,0.714286,0.021442,0.013598,0.56367,0.096681,0.008108,0.455556,0.004837,0.671745,0.11269,0.058252,0.004238,0.311224,0.193147,0.121425,0.492569,0.002026,0.001692,0.391114,0.002476,0.001892,0,0,0,0,0,0.521352,0.004352,0,0.002222,0.094307,0.000935,0.00043,0.031935,0.000825,TRUE,TRUE
0.004334,0.004435,0.393855,0.004437,0.415254,0.507553,0.227459,0.775281,0.867045,0.124559,0.0058,0.009434,0.021277,0.04878,0.07652,0.811441,0.77551,0.101365,0.077406,0.580524,0.112554,0.009969,0.655556,0.005505,0.763158,0.041624,0.085235,0.005015,0.418367,0.219477,0.207957,0.394904,0.002768,0.001946,0.440483,0.002862,0,0,0,0,0,0,0,0,0.000782,0.003022,0.105149,0.001371,0.004194,0.037109,0.000905,TRUE,TRUE
0.001308,0.001403,0.265363,0.001403,0.288136,0.398792,0.342213,0.838951,0.520455,0.498237,0.00232,0.007075,0,0.020325,0.004193,0.555085,0.828571,0.005848,0.013598,0.565543,0.096681,0.002822,0.7,0.002062,0.890582,0.040609,0.029252,0.001698,0.306122,0.212418,0.136477,0.437367,0.000999,0.000763,0.39989,0.000843,0.001053,0.434494,0,0,0,0,0.784698,0,0.000267,0.000711,0.073874,0.000456,0,0.048961,0.000217,TRUE,TRUE
